id;tag;tag2;date;author;_date;chur;kontra
bischof-felix-gmuer-fordert-lokale-bischofswahlen;Schweiz;Schweiz;13.11.2020 06:46;Raphael Rauch;13.11.2020 00:00;WAHR;0
bistum-chur-priester-fordert-sofortige-absetzung-von-giuseppe-gracia;Schweiz;Schweiz;18.11.2020 12:28;Raphael Rauch;18.11.2020 00:00;WAHR;1
ein-abt-koennte-bischof-von-chur-werden;Story der Woche;Story der Woche;20.11.2020 05:00;Raphael Rauch;20.11.2020 00:00;WAHR;0
bischofskongregation-kardinal-kurt-koch-bekommt-zwei-neue-kollegen;Vatikan;Vatikan;21.11.2020 14:09;cic;21.11.2020 00:00;WAHR;0
bistum-chur-domkapitel-waehlt-morgen-einen-neuen-bischof;Schweiz;Schweiz;22.11.2020 14:45;Raphael Rauch;22.11.2020 00:00;WAHR;0
wer-wird-bischof-von-chur-sieben-namen;Schweiz;Schweiz;22.11.2020 18:20;Raphael Rauch;22.11.2020 00:00;WAHR;0
bistumsleitung-ruft-die-polizei-und-laesst-journalisten-kontrollieren;Schweiz;Schweiz;23.11.2020 17:34;Regula Pfeifer;23.11.2020 00:00;WAHR;0
das-letzte-aufbaeumen-des-martin-grichting;Kommentar;Kommentar;23.11.2020 17:21;Raphael Rauch;23.11.2020 00:00;WAHR;1
die-domherren-sollen-martin-von-tours-bischofswahl-zum-vorbild-nehmen;Zitat;Zitat;23.11.2020 08:53;;23.11.2020 00:00;WAHR;1
eine-ungemeine-eile;Schweiz;Schweiz;23.11.2020 11:45;Georges Scherrer;23.11.2020 00:00;WAHR;0
keine-bischofswahl-domkapitel-lehnt-terna-ab;Schweiz;Schweiz;23.11.2020 16:05;Raphael Rauch;23.11.2020 00:00;WAHR;0
neuer-bischof-reformierte-mit-mundgeruch-paulus-akademie-was-diese-woche-wichtig-wird;Rauchzeichen;Rauchzeichen;23.11.2020 05:51;;23.11.2020 00:00;WAHR;0
ruedi-beck-der-aussenseiter-kandidat-bei-der-bischofswahl;Schweiz;Schweiz;23.11.2020 00:02;Vera Rüttimann;23.11.2020 00:00;WAHR;0
sie-waehlen-den-neuen-bischof-von-chur-ein-whos-who-des-domkapitels;Schweiz;Schweiz;23.11.2020 00:01;Barbara Ludwig und Raphael Rauch;23.11.2020 00:00;WAHR;0
katerstimmung-nach-bischofswahl-bistuemer-weisen-vorwurf-von-kath-net-zurueck;Schweiz;Schweiz;24.11.2020 17:44;Raphael Rauch;24.11.2020 00:00;WAHR;1
schicksal-des-bistums-chur-liegt-nun-in-der-hand-des-papstes;Zitat;Zitat;24.11.2020 11:39;;24.11.2020 00:00;WAHR;1
bistum-chur-felix-caduff-fordert-martin-grichtings-ruecktritt;Schweiz;Schweiz;25.11.2020 12:48;Raphael Rauch;25.11.2020 00:00;WAHR;1
nussbaumer-zur-geplatzten-bischofswahl-vatikan-verarscht-wahlgremium;Zitat;Zitat;25.11.2020 07:17;;25.11.2020 00:00;WAHR;-1
warum-die-bischofswahl-im-deutschsprachigen-raum-kompliziert-ist;Schweiz;Schweiz;25.11.2020 15:49;Ludwig Ring-Eifel;25.11.2020 00:00;WAHR;0
bischofsernennung-terna-visitator-welches-szenario-wahrscheinlich-wird;Schweiz;Schweiz;26.11.2020 06:41;Raphael Rauch;26.11.2020 00:00;WAHR;0
bischofswahl-in-chur-kvi-der-teufel-ist-am-werk;Kommentar;Kommentar;26.11.2020 12:01;Josip Knežević*;26.11.2020 00:00;WAHR;1
so-ernennt-papst-franziskus-den-bischof-von-chur;Vatikan;Vatikan;26.11.2020 11:07;Roland Juchem;26.11.2020 00:00;WAHR;0
domkapitelleaks-bischof-felix-gmuer-fordert-einen-brueckenbauer-fuer-chur;Schweiz;Schweiz;27.11.2020 11:34;Raphael Rauch;27.11.2020 00:00;WAHR;1
domkapitelleaks-das-geheime-protokoll-der-geplatzten-bischofswahl;Schweiz;Schweiz;27.11.2020 00:01;Raphael Rauch;27.11.2020 00:00;WAHR;0
domkapitelleaks-generalvikar-von-essen-kritisiert-bistum-chur;Zitat;Zitat;27.11.2020 16:04;;27.11.2020 00:00;WAHR;1
domkapitelleaks-grichting-und-gracia-sind-katholische-hooligans;Story der Woche;Story der Woche;27.11.2020 07:41;Raphael Rauch;27.11.2020 00:00;WAHR;1
domkapitelleaks-was-martin-werlen-dem-domkapitel-mitteilte;Schweiz;Kommentar;27.11.2020 08:46;;27.11.2020 00:00;WAHR;0
hier-offenbart-sich-ein-machtmissbrauch;Schweiz;Schweiz;27.11.2020 12:00;Raphael Rauch;27.11.2020 00:00;WAHR;1
bischof-peter-buercher-ruft-zum-gebet-fuer-neuen-bischof-auf;Zitat;Zitat;28.11.2020 18:51;;28.11.2020 00:00;WAHR;1
domkapitelleaks-der-fanatismus-der-domherren-um-martin-grichting;Kommentar;Kommentar;28.11.2020 12:00;Josip Knežević*;28.11.2020 00:00;WAHR;1
domkapitelleaks-der-inhalt-ist-erschuetternd;Zitat;Zitat;28.11.2020 05:33;;28.11.2020 00:00;WAHR;1
domkapitelleaks-geheimnistuerei-geheimbuende-und-arkandisziplin;Kommentar;Kommentar;28.11.2020 07:00;Erwin Koller;28.11.2020 00:00;WAHR;1
domkapitelleaks-warum-papst-franziskus-manchmal-traurig-ist;Zitat;Zitat;28.11.2020 06:45;;28.11.2020 00:00;WAHR;1
urschweizer-generalvikar-1990-der-grundlegende-streitpunkt-ist-nicht-die-person-wolfgang-haas;Schweiz;Schweiz;29.11.2020 06:12;;29.11.2020 00:00;WAHR;0
domkapitelleaks-der-regierungsrat-schwyz-traegt-eine-mitverantwortung;Schweiz;Schweiz;30.11.2020 05:51;Raphael Rauch;30.11.2020 00:00;WAHR;1
domkapitelleaks-diese-domherren-liessen-die-bi-schofswahl-platzen;Schweiz;Schweiz;30.11.2020 12:24;Raphael Rauch;30.11.2020 00:00;WAHR;1
kvi-martin-grichting-resilienz-kalender-was-diese-woche-wichtig-wird;Rauchzeichen;Rauchzeichen;30.11.2020 05:00;;30.11.2020 00:00;WAHR;1
eine-andere-sicht-auf-den-hof-in-chur;;Kommentar;01.12.2020 10:53;;01.12.2020 00:00;WAHR;-1
bischof-peter-buercher-fehlt-bei-vollversammlung-der-bischoefe;Schweiz;Schweiz;02.12.2020 12:01;Raphael Rauch;02.12.2020 00:00;WAHR;0
churer-domkapitel-wie-inderbitzin-den-kanton-schwyz-kritisierte;Schweiz;Schweiz;02.12.2020 16:12;;02.12.2020 00:00;WAHR;0
grichtings-verhalten-der-bischof-darf-das-so-nicht-stehen-lassen;Schweiz;Schweiz;02.12.2020 11:16;Raphael Rauch;02.12.2020 00:00;WAHR;1
churer-domkapitel-was-der-kanton-schwyz-werner-inderbitzin-antwortete;Schweiz;Schweiz;03.12.2020 16:07;;03.12.2020 00:00;WAHR;0
grichtings-verhalten-erinnert-an-trump;Zitat;Zitat;03.12.2020 11:42;;03.12.2020 00:00;WAHR;1
warum-der-bischof-vom-volk-gewaehlt-werden-sollte;Zitat;Zitat;03.12.2020 07:07;;03.12.2020 00:00;WAHR;1
das-weltbild-des-martin-grichting;Zitat;Zitat;04.12.2020 05:22;;04.12.2020 00:00;WAHR;1
