author,id
kna,954
cic,627
raphael rauch,271
sda,175
georges scherrer,148
kap,134
vera rüttimann,102
ueli abt,99
barbara ludwig,90
regula pfeifer,80
gs,65
uab,62
roland juchem,60
martin spilker,55
sylvia stam,53
bal,51
sys,45
ms,42
burkhard jürgens,36
rp,31
rr,27
eva meienberg,24
alexander brüggemann,23
alice küng,20
cath.ch/gs,20
boris burkhardt,19
alexander pitz,16
sarah stutte,16
claudia koch,16
thomas spang,15
kna/ms,13
christoph arens,12
kna/bal,11
sda/ms,11
franziska broich,11
,10
michael lenz,10
kna/gs,10
patricia dickson,9
ludwig ring-eifel,9
sda/sys,9
joachim heinz,9
bernard hallet,8
kna/sys,8
sda/bal,8
andrea krogmann,8
natalie fritz,8
maurice page,7
mariano tschuor*,7
kath.ch,7
cic/ms,7
gottfried bohl,7
christoph schmidt,6
raphaël zbinden,6
cath.ch/bal,6
charles martig,6
stefanie stahlhofen,6
pierre pistoletti,6
cath.ch/ms,5
norbert demuth,5
cath.ch/rp,5
ref.ch,5
barbara just,5
andreas drouve,5
christiane laudage,5
johannes schidelko,5
sda/gs,4
jacques berset,4
sda/uab,4
paula konersmann,4
michael jacquemain,4
sda/rp,4
tobias käufer,4
kap/ms,4
bernd tenhage,4
vanessa buff,4
leticia witte,4
kna/cic,4
johannes senk,4
christopher beschnitt,3
cic/bal,3
angelika prauss,3
cic/kna,3
kna/uab,3
catt.ch/rp,3
andreas otto,3
thomas milz,3
kap/kna,3
kap/gs,3
ines schaberger,3
antonia moser,3
cath.ch/übers. rp,3
norbert zonker,3
walter ludin*,3
oliver hinz,3
gs/kna,3
"boris
burkhardt",3
denise thomas,3
davide pesenti/cath.ch,2
"davide pesenti, cath.ch",2
andreas bättig,2
anselm verbeek,2
in englischer sprache,2
von josef imbach*,2
"georges
scherrer",2
anna fries,2
anita hirschbeck,2
kna/kap,2
cic/gs,2
cic/kap,2
von ingrid grave*,2
andreas c. müller,2
dominique spirgi,2
raphaël zbinden / cath.ch,2
cic/sys,2
volker hasenauer,2
kna/kath.ch,2
karin wollschläger,2
maren breitling,2
cath.ch/übersetzung rp,2
sys/sda,2
josip knežević*,2
stefanie ball,2
cath.ch/ übers. rp,2
cath.ch / übersetzung: uab,2
lisa konstantinidis,2
sylvia stam/sda,2
sda/ref.ch,2
sda/kna,2
cath.ch/sys,2
cath.ch/übers. und adaption rp,2
christina und thomas wallimann-sasaki*,2
catt.ch / übersetzung: uab,2
kap/sys,2
gregor krumpholz,2
thomas winkel,2
inga kilian,2
christian wölfel,2
christian michael hammer,2
bal/kna,2
catt.ch/übersetzung: rp,2
catt.ch/übers. rp,2
ms/kna,1
kna/uab/sys,1
mario galgano*,1
kna/kap/cic,1
osb,1
markus baumgartner*,1
mitglied der gemeinschaft der «kleinen brüder vom evangelium»,1
kuno schmid*,1
laura quadri,1
markus schönherr,1
kna/rp,1
kna/rr,1
nina schmedding,1
nfp 67,1
natalie fritz*,1
michael althaus,1
markus zimmermann*,1
"maurice page, rom",1
"martin
spilker",1
martin kopp*,1
"ms, akt. 7.2.2020 bal",1
"matthäusevangelium 7,16",1
ms/sys,1
ms/rr,1
knapp 13 millionen euro,1
sabine kleyboldt,1
pdf,1
stephan leimgruber*,1
sys/gs,1
sys/cic,1
sys/aktualisiert: 5.5.19,1
sys/aktualisiert: 2.4.19 sys,1
sylvia stam*,1
"sylvia
stam",1
sophie delhalle,1
peter spichtig*,1
simone werner,1
simon spengler*,1
silvia guggiari/catt.ch,1
"silvia guggiari, catt.ch",1
silke uertz,1
sda; aktualisiert ms.,1
sys/kna,1
thomas binotto*,1
uab /aktualisiert 22.8.19 uab,1
"uab, cath.ch/mp",1
uab/aktualisiert 15.4.19 uab,1
uab/aktualisiert sys 14.3.,1
uab/rp,1
urban fink-wagner*,1
urban schwegler*,1
urteil 6b_56/2019 vom 06.08.2019,1
von alexander pitz,1
von andreas krummenacher,1
von andreas otto,1
von jan-heiner tück*,1
von timo rager*,1
walter ludin,1
wim houtman/sylvia stam,1
sda/uab/rr,1
sda/rr,1
sda/cic,1
rp/aktualisiert 17.2./sys,1
philipp mattheis,1
post,1
priester-,1
protokoll: vera rüttimann,1
rainer nolte,1
raphael rauch und kathpress,1
ref.ch/ms,1
ref.ch/sda/sys,1
ref.ch/sys,1
"regula
pfeifer",1
robert bossart*,1
rom/katholisch.de,1
rosalie manser,1
"rp, korrigiert 26.3.20",1
rp/sda,1
sda/cath.ch/rp,1
rpi,1
rra,1
rudolf walter*,1
sabine rüthemann,1
sabrina durante,1
"sarah schmalz, woz",1
sarah stutte*,1
sascha pöschel,1
schweiz,1
sda / uab,1
sda/ uab /kna,1
sda/cath.ch/bal,1
sda/cath.ch/catt.ch/bal,1
sda/cath.ch/ms,1
kna/cath.ch/rp,1
jacques berset / cath.ch,1
kna/aktualisiert: 10.10. sys,1
cath.ch/gekürzte übersetzung: sys,1
cath.ch/rr,1
"cath.ch/rp/4.9.19 aktualisiert, bal",1
cath.ch/mp/rr,1
cath.ch/missio/gs,1
cath.ch/kna/rp,1
cath.ch/kna,1
cath.ch/kap,1
cath.ch/bal/kna,1
carole pirker,1
cath.ch/arch/rz,1
cath.ch/ag/mp/ übersetzung: uab,1
cath.ch/adaption: georges scherrer,1
cath.ch/24h/mp,1
cath.ch/ übersetzung: uab,1
cath.ch / übersetzung uab/sys,1
cath.ch / maurice page,1
"cath.ch/rz, uab",1
cath.ch/sda/bal,1
cath.ch/sys/ms,1
cath.ch/uab,1
"christoph
arens",1
christiane oelrich,1
"christiane
laudage",1
chris winteler*,1
catt.ch/sys,1
catt.ch/sda/rp,1
catt.ch/ms,1
catt.ch/gs,1
catt.ch/ übersetzung: uab,1
catt.ch/ uab,1
cath.ch/übersetzung: uab,1
cath.ch/übersetzung: sylvia stam und georges scherrer,1
cath.ch/übersetzung: rp,1
cath.ch/übersetzung uab,1
cath.ch/übersetzung ms.,1
